,count
34,203
12,199
27,198
33,197
13,197
17,194
43,194
20,192
1,192
7,192
38,191
3,191
6,190
26,189
18,188
37,188
4,188
24,188
14,187
40,187
45,187
31,185
35,184
16,184
39,184
21,183
11,183
10,182
19,182
15,182
30,181
2,181
44,180
36,179
42,173
8,172
5,172
32,171
28,169
25,165
29,163
23,159
41,158
22,156
9,151
